ITERACJA 0
CZĄSTKA 10: [7]	[2] : 28.47
CZĄSTKA 11: [7]	[2] : 28.47
CZĄSTKA 12: [7]	[2] : 28.47
CZĄSTKA 13: [5]	[2] : -1000.00
CZĄSTKA 14: [6]	[2] : 10.40
CZĄSTKA 15: [7]	[2] : 28.47
CZĄSTKA 16: [7]	[2] : 28.47
CZĄSTKA 17: [5]	[2] : -1000.00
CZĄSTKA 18: [6]	[2] : 10.40
CZĄSTKA 19: [6]	[2] : 10.40
CZĄSTKA 20: [7]	[2] : 28.47
CZĄSTKA 21: [6]	[2] : 10.40
CZĄSTKA 22: [6]	[2] : 10.40
CZĄSTKA 23: [6]	[2] : 10.40
CZĄSTKA 24: [7]	[2] : 28.47
CZĄSTKA 25: [6]	[2] : 10.40
CZĄSTKA 26: [5]	[2] : -1000.00
CZĄSTKA 27: [7]	[2] : 28.47
CZĄSTKA 28: [6]	[2] : 10.40
CZĄSTKA 29: [7]	[2] : 28.47
ITERACJA 50
CZĄSTKA 0: [6]	[2] : 10.40
CZĄSTKA 1: [6]	[2] : 10.40
CZĄSTKA 2: [7]	[2] : 28.47
CZĄSTKA 3: [5]	[3] : -1000.00
CZĄSTKA 4: [5]	[3] : -1000.00
CZĄSTKA 5: [7]	[2] : 28.47
CZĄSTKA 6: [6]	[3] : 23.49
CZĄSTKA 7: [7]	[2] : 28.47
CZĄSTKA 8: [6]	[2] : 10.40
CZĄSTKA 9: [7]	[2] : 28.47
CZĄSTKA 10: [7]	[2] : 28.47
CZĄSTKA 11: [7]	[2] : 28.47
CZĄSTKA 12: [7]	[2] : 28.47
CZĄSTKA 13: [5]	[3] : -1000.00
CZĄSTKA 14: [7]	[2] : 28.47
CZĄSTKA 15: [7]	[2] : 28.47
CZĄSTKA 16: [7]	[2] : 28.47
CZĄSTKA 17: [5]	[2] : -1000.00
CZĄSTKA 18: [6]	[2] : 10.40
CZĄSTKA 19: [6]	[2] : 10.40
CZĄSTKA 20: [7]	[2] : 28.47
CZĄSTKA 21: [6]	[2] : 10.40
CZĄSTKA 22: [6]	[3] : 23.49
CZĄSTKA 23: [6]	[3] : 23.49
CZĄSTKA 24: [7]	[2] : 28.47
CZĄSTKA 25: [6]	[3] : 23.49
CZĄSTKA 26: [5]	[3] : -1000.00
CZĄSTKA 27: [7]	[2] : 28.47
CZĄSTKA 28: [6]	[2] : 10.40
CZĄSTKA 29: [7]	[2] : 28.47
ITERACJA 60
CZĄSTKA 0: [6]	[2] : 10.40
CZĄSTKA 1: [6]	[2] : 10.40
CZĄSTKA 2: [7]	[2] : 28.47
CZĄSTKA 3: [6]	[2] : 10.40
CZĄSTKA 4: [6]	[2] : 10.40
CZĄSTKA 5: [7]	[2] : 28.47
CZĄSTKA 6: [6]	[2] : 10.40
CZĄSTKA 7: [7]	[2] : 28.47
CZĄSTKA 8: [6]	[2] : 10.40
CZĄSTKA 9: [7]	[2] : 28.47
CZĄSTKA 10: [7]	[2] : 28.47
CZĄSTKA 11: [7]	[2] : 28.47
CZĄSTKA 12: [7]	[2] : 28.47
CZĄSTKA 13: [6]	[2] : 10.40
CZĄSTKA 14: [7]	[2] : 28.47
CZĄSTKA 15: [7]	[2] : 28.47
CZĄSTKA 16: [7]	[2] : 28.47
CZĄSTKA 17: [6]	[2] : 10.40
CZĄSTKA 18: [6]	[2] : 10.40
